[ pid=12162 thr=140127513569056 file=ext/nginx/HelperAgent.cpp:982 time=2011-07-06 15:19:18.689 ]: Passenger helper agent started on PID 12162
[ pid=12162 thr=140127513093888 file=ext/common/ApplicationPool/Pool.h:939 time=2011-07-06 15:19:20.731 ]: Spawning a process for /root/workspace/Isport because there are none for this app group
[ pid=12162 thr=140127513093888 file=ext/common/ApplicationPool/../SpawnManager.h:291 time=2011-07-06 15:19:20.731 ]: Spawning a new application process for /root/workspace/Isport...
[ pid=12162 thr=140127513093888 file=ext/common/ApplicationPool/../SpawnManager.h:413 time=2011-07-06 15:19:26.82 ]: Application process 12317 spawned
[ pid=12317 thr=19294720 file=abstract_request_handler.rb:244 time=2011-07-06 15:19:26.082 ]: Entering request handler main loop
[ pid=12162 thr=140127513093888 file=ext/common/ApplicationPool/../Process.h:117 time=2011-07-06 15:19:26.82 ]: Application process 12317 (0x1531020): created.
[ pid=12317 thr=19294720 file=abstract_request_handler.rb:466 time=2011-07-06 15:19:26.083 ]: Accepting new request on main socket
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/Pool.h:611 time=2011-07-06 15:19:26.88 ]: Background spawning a process for /root/workspace/Isport
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../SpawnManager.h:291 time=2011-07-06 15:19:26.88 ]: Spawning a new application process for /root/workspace/Isport...
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../SpawnManager.h:413 time=2011-07-06 15:19:26.107 ]: Application process 12326 spawned
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../Process.h:117 time=2011-07-06 15:19:26.107 ]: Application process 12326 (0x153ce20): created.
[ pid=12326 thr=19294720 file=abstract_request_handler.rb:244 time=2011-07-06 15:19:26.107 ]: Entering request handler main loop
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/Pool.h:611 time=2011-07-06 15:19:26.107 ]: Background spawning a process for /root/workspace/Isport
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../SpawnManager.h:291 time=2011-07-06 15:19:26.107 ]: Spawning a new application process for /root/workspace/Isport...
[ pid=12332 thr=19294720 file=abstract_request_handler.rb:244 time=2011-07-06 15:19:26.119 ]: Entering request handler main loop
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../SpawnManager.h:413 time=2011-07-06 15:19:26.120 ]: Application process 12332 spawned
[ pid=12162 thr=140127511688960 file=ext/common/ApplicationPool/../Process.h:117 time=2011-07-06 15:19:26.120 ]: Application process 12332 (0x153c500): created.
[ pid=12162 thr=140127513093888 file=ext/nginx/HelperAgent.cpp:574 time=2011-07-06 15:19:26.271 ]: Couldn't forward the HTTP response back to the HTTP client: It seems the user clicked on the 'Stop' button in his browser.
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:19:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:19:48.715 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:20:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:20:18.717 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:20:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:20:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:21:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:21:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:21:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:21:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:22:03.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:22:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:22:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:22:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:23:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:23:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:23:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:23:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:24:03.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:24:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:24:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:24:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:25:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:25:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:25:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:25:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:26:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:26:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:26:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:26:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:27:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:27:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:27:33.716 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:27:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:28:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:28:18.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:28:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:28:48.711 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:29:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:29:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:29:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:29:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:30:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:30:18.720 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:30:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:30:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:31:03.712 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:31:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:31:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:31:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:32:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:32:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:32:33.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:32:48.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:33:03.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:33:18.710 ]: Flushing all sinks (periodic action)
[ pid=12167 thr=139746784048960 file=ext/common/LoggingAgent/LoggingServer.h:827 time=2011-07-06 15:33:33.710 ]: Flushing all sinks (periodic action)
